Level,Degree,Term,CourseName,CourseID,CourseType,CreditHours,Grade
U,BS1,1,CourseA1,CA1,Major,3,75
U,BS1,1,CourseA2,CA2,Minor,4,89
U,BS1,1,CourseA3,CA3,Major,4,85
U,BS1,1,CourseA4,CA4,Major,4,91
U,BS1,1,CourseA5,CA5,Minor,3,79
U,BS1,2,CourseA6,CA6,Minor,4,90
U,BS1,2,CourseA7,CA7,Major,4,88
U,BS1,2,CourseA8,CA8,Minor,3,86
U,BS1,2,CourseA9,CA9,Major,3,87
U,BS1,3,CourseA10,CA10,Major,4,75
U,BS1,3,CourseA11,CA11,Major,3,89
U,BS1,3,CourseA12,CA12,Minor,3,95
U,BS1,4,CourseA13,CA13,Minor,3,93
U,BS1,4,CourseA14,CA14,Major,4,76
U,BS1,4,CourseA15,CA15,Major,4,80
U,BS1,5,CourseA16,CA16,Minor,3,86
U,BS1,5,CourseA17,CA17,Major,4,84
G,M1,1,CourseB1,B1,Minor,3,97
G,M1,1,CourseB2,B2,Major,4,94
G,M1,1,CourseB3,B3,Minor,3,76
G,M1,1,CourseB4,B4,Major,4,79
G,M1,1,CourseB5,B5,Major,4,80
G,M1,2,CourseB6,B6,Minor,4,84
G,M1,2,CourseB7,B7,Minor,3,89
G,M1,2,CourseB8,B8,Major,3,87
G,M1,2,CourseB9,B9,Major,3,93
G,M1,3,CourseB10,B10,Major,4,90
G,M1,3,CourseB11,B11,Minor,4,78
G,M1,3,CourseB12,B12,Major,4,90
G,D1,1,CourseC1,C1,Minor,3,78
G,D1,1,CourseC2,C2,Major,3,96
G,D1,1,CourseC3,C3,Minor,4,87
G,D1,2,CourseC4,C4,Major,3,88
G,D1,2,CourseC5,C5,Major,3,96
G,D1,2,CourseC6,C6,Minor,4,76
G,D1,3,CourseC7,C7,Major,3,79
G,D1,3,CourseC8,C8,Minor,4,80
G,D1,3,CourseC9,C9,Major,3,81
G,D1,4,CourseC10,C10,Major,3,86
G,D1,4,CourseC11,C11,Minor,4,84
