Level,Degree,Term,CourseName,CourseID,CourseType,CreditHours,Grade,
U,BS1,1,CourseG1,CG1,Major,4,97,
U,BS1,1,CourseG2,CG2,Minor,4,94,86.54545455
U,BS1,1,CourseG3,CG3,Major,3,80,
U,BS1,1,CourseG4,CG4,Major,4,91,
U,BS1,1,CourseG5,CG5,Minor,3,76,
U,BS1,2,CourseG6,CG6,Major,4,77,
U,BS1,2,CourseG7,CG7,Major,3,99,
U,BS1,2,CourseG8,CG8,Major,3,96,
U,BS1,2,CourseG9,CG9,Minor,3,80,
U,BS1,3,CourseG10,CG10,Minor,4,83,
U,BS1,3,CourseG11,CG11,Minor,4,87,
U,BS1,3,CourseG12,CG12,Major,4,86,
U,BS1,4,CourseG13,CG13,Major,4,81,
U,BS1,4,CourseG14,CG14,Minor,3,80,
U,BS1,4,CourseG15,CG15,Major,3,75,
U,BS1,5,CourseG16,CG16,Minor,4,79,
U,BS1,5,CourseG17,CG17,Major,4,90,
G,M1,1,CourseH1,CH1,Major,4,76,
G,M1,1,CourseH2,CH2,Minor,4,91,
G,M1,1,CourseH3,CH3,Major,3,97,
G,M1,2,CourseH4,CH4,Major,4,90,
G,M1,2,CourseH5,CH5,Major,4,78,
G,M1,2,CourseH6,CH6,Minor,4,86,
G,M1,3,CourseH7,CH7,Major,3,97,
G,M1,3,CourseH8,CH8,Minor,4,84,
G,M1,3,CourseH9,CH9,Major,3,83,
